Venue ID,Latitude,Longitude,Venue Category Name,Country Code
4abab7f9f964a520988220e3,-33.887981,151.231377,Neighborhood,AU
4abe9a5df964a520c68e20e3,-33.882516,151.228164,Caf,AU
4ad3b9fbf964a520f1e520e3,-33.869128,151.208226,Caf,AU
4ad66a8cf964a520180721e3,-33.88442,151.230619,Deli / Bodega,AU
4aeb45caf964a5206cc021e3,-33.935598,151.165695,Airport Terminal,AU
4b05875bf964a5203d8d22e3,-33.855778,151.209222,Hotel,AU
4b05875bf964a5203e8d22e3,-33.860435,151.203707,Hotel,AU
4b05875bf964a5203f8d22e3,-33.862991,151.212455,Hotel,AU
4b05875bf964a520428d22e3,-33.867692,151.207805,Hotel,AU
4b05875bf964a5204e8d22e3,-33.868792,151.205942,Hotel,AU
4b05875bf964a520548d22e3,-33.865604,151.208448,Pub,AU
4b05875bf964a520558d22e3,-33.858451,151.203557,Pub,AU
4b05875bf964a520578d22e3,-33.872087,151.19797,Hotel,AU
4b05875bf964a520588d22e3,-33.865788,151.206001,Hotel,AU
4b05875cf964a5205d8d22e3,-33.87093,151.225445,Hotel,AU
4b05875cf964a520658d22e3,-33.880697,151.203275,Hotel,AU
4b05875cf964a520708d22e3,-33.858146,151.208813,Hotel,AU
4b05875cf964a520728d22e3,-33.876736,151.220817,Hotel,AU
4b05875cf964a520738d22e3,-33.862514,151.206272,Hotel,AU
4b05875cf964a520758d22e3,-33.877506,151.202731,Hotel,AU
4b05875cf964a5207d8d22e3,-33.864611,151.207299,Hotel,AU
4b05875cf964a520808d22e3,-33.845549,151.210998,Hotel,AU
4b05875cf964a520818d22e3,-33.870701,151.207366,Hotel,AU
4b05875cf964a520858d22e3,-33.871484,151.210162,Hotel,AU
4b05875cf964a5209d8d22e3,-33.892709,151.191705,Pub,AU
4b05875df964a520c08d22e3,-33.861256,151.206644,Hotel,AU
4b05875df964a520c28d22e3,-33.847786,151.205756,Hotel,AU
4b05875df964a520c38d22e3,-33.861499,151.208152,Hotel,AU
4b05875df964a520c58d22e3,-33.873165,151.208739,Hotel,AU
4b05875df964a520c98d22e3,-33.873738,151.203042,Hotel,AU
4b05875df964a520cb8d22e3,-33.854192,151.208192,Hotel,AU
4b05875df964a520cd8d22e3,-33.875732,151.222729,Hotel,AU
4b05875df964a520ce8d22e3,-33.878342,151.20545,Hotel,AU
4b05875df964a520d08d22e3,-33.820533,151.004784,Hotel,AU
4b05875df964a520d18d22e3,-33.865498,151.208659,Hotel,AU
4b05875df964a520d38d22e3,-33.870879,151.197656,Hotel,AU
4b05875df964a520d68d22e3,-33.858533,151.208155,Wine Bar,AU
4b05875df964a520dc8d22e3,-33.879412,151.210842,Thai Restaurant,AU
4b05875df964a520e08d22e3,-33.877986,151.220627,Bar,AU
4b05875df964a520e38d22e3,-33.86867,151.203332,Pub,AU
4b05875df964a520e48d22e3,-33.878345,151.221551,Bar,AU
4b05875df964a520e78d22e3,-33.886035,151.229162,Bar,AU
4b05875df964a520e98d22e3,-33.861926,151.210864,Bar,AU
4b05875df964a520ea8d22e3,-33.87321,151.222548,Lounge,AU
4b05875df964a520ed8d22e3,-33.877637,151.216588,Bar,AU
4b05875df964a520ee8d22e3,-33.877796,151.243611,Pub,AU
4b05875df964a520ef8d22e3,-33.861877,151.208138,Pub,AU
4b05875df964a520f08d22e3,-33.877248,151.212842,Cocktail Bar,AU
4b05875ef964a520018e22e3,-33.856572,151.207555,Bar,AU
4b05875ef964a520048e22e3,-33.878643,151.213952,Cocktail Bar,AU
4b05875ef964a520078e22e3,-33.883145,151.217356,Bar,AU
4b05875ef964a520088e22e3,-33.868732,151.205835,Wine Bar,AU
4b05875ef964a5200a8e22e3,-33.879038,151.214683,Gay Bar,AU
4b05875ef964a5200c8e22e3,-33.899175,151.182396,Gay Bar,AU
4b05875ef964a5200f8e22e3,-33.859522,151.209262,Australian Restaurant,AU
4b05875ef964a520108e22e3,-33.857425,151.210304,Australian Restaurant,AU
4b05875ef964a520128e22e3,-33.86373,151.211556,Caf,AU
4b05875ef964a520148e22e3,-33.859156,151.212791,Italian Restaurant,AU
4b05875ef964a520158e22e3,-33.897531,151.179367,Pub,AU
4b05875ef964a520178e22e3,-33.873033,151.220753,Pub,AU
4b05875ef964a5201b8e22e3,-33.961288,151.156122,Dessert Shop,AU
4b05875ef964a520208e22e3,-33.85732,151.208852,Restaurant,AU
4b05875ef964a520298e22e3,-33.881695,151.218964,Pub,AU
4b05875ef964a5202a8e22e3,-33.881043,151.216787,Pub,AU
4b05875ef964a5202c8e22e3,-33.873001,151.216633,Cocktail Bar,AU
4b05875ef964a520348e22e3,-33.87689,151.221633,Caf,AU
4b05875ef964a520368e22e3,-33.876491,151.209866,Caf,AU
4b05875ef964a5203d8e22e3,-33.827766,151.201476,Italian Restaurant,AU
4b05875ef964a520ff8d22e3,-33.877872,151.206086,Bar,AU
4b05875ff964a5203f8e22e3,-33.880517,151.215048,Restaurant,AU
4b05875ff964a520418e22e3,-33.871982,151.199234,Indian Restaurant,AU
4b05875ff964a5204c8e22e3,-33.879532,151.205944,Dessert Shop,AU
4b05875ff964a520508e22e3,-33.879965,151.206572,Food Truck,AU
4b05875ff964a520528e22e3,-33.861373,151.211239,Breakfast Spot,AU
4b05875ff964a520538e22e3,-33.831264,151.221415,Caf,AU
4b05875ff964a520568e22e3,-33.857743,151.205801,Pub,AU
4b05875ff964a520578e22e3,-33.886484,151.208042,Pub,AU
4b05875ff964a520598e22e3,-33.858277,151.184453,Bar,AU
4b05875ff964a5205a8e22e3,-33.858854,151.177375,Pub,AU
4b05875ff964a5205b8e22e3,-33.836734,151.207236,Bar,AU
4b05875ff964a5205c8e22e3,-33.840224,151.20772,Bar,AU
4b05875ff964a5205d8e22e3,-33.883407,151.22261,Pub,AU
4b05875ff964a5205e8e22e3,-33.88368,151.23432,Pub,AU
4b05875ff964a5205f8e22e3,-33.888517,151.232196,Bar,AU
4b05875ff964a520618e22e3,-33.884838,151.237496,Bar,AU
4b05875ff964a520628e22e3,-33.888296,151.236872,Pub,AU
4b05875ff964a520638e22e3,-33.845848,151.212724,Bar,AU
4b05875ff964a520688e22e3,-33.888606,151.213189,Pub,AU
4b05875ff964a5206a8e22e3,-33.876755,151.184949,Pub,AU
4b05875ff964a5206b8e22e3,-33.871217,151.203815,Bar,AU
4b05875ff964a520748e22e3,-33.895978,151.18281,Caf,AU
4b05875ff964a520768e22e3,-33.883596,151.192111,Vegetarian / Vegan Restaurant,AU
4b05875ff964a520798e22e3,-33.872956,151.224662,Bar,AU
4b05875ff964a5207a8e22e3,-33.808057,150.988135,Bar,AU
4b05875ff964a5207c8e22e3,-33.88135,151.20522,Bar,AU
4b05875ff964a5207e8e22e3,-33.873034,151.207657,Bar,AU
