Venue ID,Latitude,Longitude,Venue Category Name,Country Code
4ac0ca73f964a5208c9420e3,48.857731,2.351621,Fast Food Restaurant,FR
4ac22ce1f964a520139820e3,48.869994,2.327471,Caf,FR
4ac759c9f964a520eab620e3,48.864692,2.346223,French Restaurant,FR
4ac79395f964a52021b820e3,48.87961,2.339383,Hotel Bar,FR
4ac7bd27f964a5207ab920e3,48.851995,2.338532,French Restaurant,FR
4ad05405f964a520d9d720e3,48.841487,2.321359,French Restaurant,FR
4ad58104f964a520120321e3,48.869874,2.342604,Burger Joint,FR
4adcd9fef964a520743021e3,48.86727,2.321028,Hotel,FR
4adcd9fef964a520753021e3,48.887919,2.253529,Hotel,FR
4adcd9fef964a520783021e3,48.858031,2.346254,Hotel,FR
4adcd9fff964a5207f3021e3,48.852675,2.354195,Hotel,FR
4adcd9fff964a520813021e3,48.858963,2.331597,Hotel,FR
4adcd9fff964a520823021e3,48.85227,2.326033,Hotel,FR
4adcd9fff964a520883021e3,48.897017,2.385106,Hotel,FR
4adcd9fff964a5208e3021e3,48.852335,2.363665,Hotel,FR
4adcd9fff964a5208f3021e3,48.850378,2.298175,Hotel,FR
4adcd9fff964a520903021e3,48.884827,2.299772,Hotel,FR
4adcd9fff964a520923021e3,48.853817,2.330241,Hotel,FR
4adcd9fff964a520963021e3,48.86052,2.343638,Hotel,FR
4adcd9fff964a520983021e3,48.875558,2.3267,Hotel,FR
4adcd9fff964a520a23021e3,48.856762,2.330444,Hotel,FR
4adcd9fff964a520a33021e3,48.870117,2.310599,Hotel,FR
4adcd9fff964a520a53021e3,48.847796,2.351523,Hotel,FR
4adcd9fff964a520a73021e3,48.867905,2.328951,Hotel,FR
4adcd9fff964a520ae3021e3,48.86887,2.29191,Hotel,FR
4adcd9fff964a520b03021e3,48.867743,2.3031,Hotel,FR
4adcda00f964a520b63021e3,48.832864,2.355408,Hotel,FR
4adcda00f964a520b73021e3,48.846957,2.318534,Hotel,FR
4adcda00f964a520b93021e3,48.851331,2.327256,Hotel,FR
4adcda00f964a520ba3021e3,48.868554,2.301089,Hotel,FR
4adcda00f964a520c03021e3,48.880099,2.302533,Hotel,FR
4adcda00f964a520c13021e3,48.866721,2.328528,Hotel,FR
4adcda00f964a520c33021e3,48.87327,2.300311,Hotel,FR
4adcda00f964a520cb3021e3,48.874193,2.298235,Hotel,FR
4adcda00f964a520cd3021e3,48.854072,2.342915,Hotel,FR
4adcda00f964a520d13021e3,48.866202,2.337272,Hotel,FR
4adcda00f964a520d23021e3,48.871094,2.338566,Hotel,FR
4adcda00f964a520da3021e3,48.871542,2.323598,Hotel,FR
4adcda00f964a520dd3021e3,48.866388,2.288115,Hotel,FR
4adcda00f964a520de3021e3,48.854815,2.33939,Hotel,FR
4adcda00f964a520e13021e3,48.871752,2.314571,Hotel,FR
4adcda00f964a520e23021e3,48.858881,2.345296,Hotel,FR
4adcda00f964a520e53021e3,48.846158,2.345092,Hotel,FR
4adcda00f964a520ed3021e3,48.868346,2.333289,Hotel,FR
4adcda00f964a520ee3021e3,48.85107,2.378727,Hotel,FR
4adcda00f964a520f03021e3,48.866692,2.327909,Hotel,FR
4adcda00f964a520f13021e3,48.872845,2.321441,Hotel,FR
4adcda00f964a520f73021e3,48.863913,2.366088,Hotel,FR
4adcda00f964a520f83021e3,48.851299,2.33254,Hotel,FR
4adcda01f964a520033121e3,48.883838,2.32276,Hotel,FR
4adcda01f964a520043121e3,48.853778,2.367761,Hotel,FR
4adcda01f964a520053121e3,48.859328,2.36824,Hotel,FR
4adcda01f964a520083121e3,48.855568,2.361987,Hotel,FR
4adcda01f964a5200a3121e3,48.873208,2.302363,Hotel,FR
4adcda01f964a5200d3121e3,48.865144,2.356505,Hotel,FR
4adcda01f964a520133121e3,48.839558,2.330371,Hotel,FR
4adcda01f964a520143121e3,48.887,2.309586,Hotel,FR
4adcda01f964a520163121e3,48.879402,2.320287,Hotel,FR
4adcda01f964a520173121e3,48.833168,2.289225,Hotel,FR
4adcda01f964a520183121e3,48.878483,2.326977,Hotel,FR
4adcda01f964a520193121e3,48.861413,2.348863,Hotel,FR
4adcda01f964a5201c3121e3,48.875691,2.303955,Hotel,FR
4adcda01f964a5201e3121e3,48.849064,2.346998,Hotel,FR
4adcda01f964a5201f3121e3,48.849993,2.346853,Hotel,FR
4adcda01f964a520213121e3,48.865963,2.326161,Hotel,FR
4adcda01f964a520233121e3,48.851614,2.390602,Hotel,FR
4adcda01f964a520243121e3,48.857996,2.279472,Hotel,FR
4adcda01f964a520273121e3,48.872158,2.326073,Hotel,FR
4adcda01f964a520303121e3,48.851447,2.343349,Hotel,FR
4adcda01f964a520323121e3,48.838583,2.288647,Hotel,FR
4adcda01f964a520353121e3,48.865031,2.377811,Hotel,FR
4adcda01f964a520363121e3,48.863544,2.360919,Hotel,FR
4adcda01f964a520393121e3,48.866582,2.334934,Hotel,FR
4adcda01f964a5203f3121e3,48.877691,2.35484,Hotel,FR
4adcda01f964a520403121e3,48.856519,2.285194,Hotel,FR
4adcda01f964a520423121e3,48.845035,2.324962,Hotel,FR
4adcda01f964a520433121e3,48.888849,2.33327,Hotel,FR
4adcda01f964a520453121e3,48.856778,2.303073,Hotel,FR
4adcda01f964a520463121e3,48.871602,2.322228,Hotel,FR
4adcda01f964a5204a3121e3,48.868931,2.336855,Hotel,FR
4adcda01f964a5204d3121e3,48.869496,2.332344,Hotel,FR
4adcda01f964a520523121e3,48.841675,2.329788,Hotel,FR
4adcda01f964a520533121e3,48.873116,2.343124,Hotel,FR
4adcda01f964a520563121e3,48.854296,2.275457,Hotel,FR
4adcda01f964a520f93021e3,48.866866,2.302995,Hotel,FR
4adcda01f964a520fe3021e3,48.868233,2.335118,Hotel,FR
4adcda02f964a520573121e3,48.850677,2.339482,Hotel,FR
4adcda02f964a520593121e3,48.842735,2.325664,Hotel,FR
4adcda02f964a5205a3121e3,48.848696,2.349646,Hotel,FR
4adcda02f964a5205e3121e3,48.867153,2.28771,Hotel,FR
4adcda02f964a520643121e3,48.859686,2.347175,Hotel,FR
4adcda02f964a520673121e3,48.871804,2.326377,Hotel,FR
4adcda02f964a520683121e3,48.876497,2.296544,Hotel,FR
4adcda02f964a520703121e3,48.848766,2.347883,Hotel,FR
4adcda02f964a520733121e3,48.828889,2.300477,Hotel,FR
4adcda02f964a520743121e3,48.902646,2.313246,Hotel,FR
4adcda02f964a520773121e3,48.869854,2.297213,Hotel,FR
4adcda02f964a520783121e3,48.880015,2.302344,Hotel,FR
4adcda02f964a520793121e3,48.873504,2.343841,Hotel,FR
4adcda02f964a5207a3121e3,48.84,2.330299,Hotel,FR
4adcda02f964a520803121e3,48.848897,2.369748,Hotel,FR
4adcda02f964a520853121e3,48.87966,2.296211,Hotel,FR
4adcda02f964a520873121e3,48.881856,2.276783,Hotel,FR
4adcda02f964a520883121e3,48.864213,2.336079,Hotel,FR
4adcda02f964a5208a3121e3,48.869387,2.359219,Hotel,FR
4adcda02f964a520933121e3,48.872176,2.328194,Hotel,FR
4adcda02f964a520943121e3,48.883696,2.32857,Hotel,FR
4adcda02f964a520953121e3,48.85287,2.346911,Hotel,FR
4adcda02f964a5209e3121e3,48.880067,2.334358,Hotel,FR
4adcda02f964a520a03121e3,48.863853,2.332456,Hotel,FR
4adcda03f964a520a13121e3,48.848721,2.407802,Hotel,FR
4adcda03f964a520a33121e3,48.886831,2.313798,Hotel,FR
